NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age
NCT06558617,"Diagnostic Performance of SARC-F, SARC-CalF, and Calf Circumference for Sarcopenia Screening in Thai Elderly Population",https://clinicaltrials.gov/study/NCT06558617,,COMPLETED,"As the elderly population grows, musculoskeletal disorders, including sarcopenia, have become a critical area of study due to their association with falls and fractures. Sarcopenia, characterized by decreased muscle mass, is prevalent among older adults and poses a significant risk for falls. This study aimed to assess the effectiveness of the SARC-F and SARC-CalF questionnaires, along with calf circumference measurements, in screening for sarcopenia among Thai community-dwelling older adults, following the Asian Working Group on Sarcopenia (AWGS) 2019 criteria.",NO,Sarcopenia|Diagnosis,DIAGNOSTIC_TEST: SARC-F Questionnaire|DIAGNOSTIC_TEST: Calf Circumference Measurement|DIAGNOSTIC_TEST: SARC-CalF Questionnaire,"Appendicular skeletal muscle mass (ASM), To assess appendicular skeletal muscle mass (ASM), we used the Tanita RD-545, a dual-frequency bioelectrical impedance analysis (BIA) device (Tanita Corporation, Tokyo, Japan). Previous studies have demonstrated that this BIA method is reliable and comparable to dual-energy X-ray absorptiometry (DXA) for diagnosing sarcopenia in Thai elderly adults. The appendicular skeletal muscle mass index (ASMI) was calculated by dividing the ASM by the square of the height. According to the 2019 criteria of the AWGS, low muscle mass is defined as \<7.0 kg/m² for men and \<5.7 kg/m² for women., up to 4 weeks|Handgrip strength, Participants were asked to squeeze a digital Smedley spring hand dynamometer (Takei 5401 Digital Dynamometer; Takei, Tokyo, Japan) with maximum effort while standing with fully extended arms at their sides. The grip size was adjusted for each participant's hand size, and 2 or 3 trials were performed, with the highest output value recorded. Handgrip strengths \< 28 kg in males and \< 18 kg in females were classified as low muscle strength, per the AWGS 2019 criteria., up to 4 weeks|5-time sit-to-stand test (5TSTS), Participants were directed to sit upright on armless chairs with their backs supported firmly by the backrest. They were then instructed to stand up as quickly as possible for 5 repetitions with their arms crossed, trunk upright, and hips and knees fully extended. The time taken by each participant to complete the test from the initial sitting to the fifth sitting was recorded. The test is considered abnormal if it takes equal or more than 12 seconds to complete the task., up to 4 weeks",,,ALL,"ADULT, OLDER_ADULT"
NCT06558604,A Phase II Study Evaluating Glofitamab in Combination With Venetoclax Plus Zanubrutinib or Venetoclax Alone in Subjects With Untreated or Relapsed/Refractory High-risk Mantle-cell Lymphoma,https://clinicaltrials.gov/study/NCT06558604,GLOASIS,NOT_YET_RECRUITING,"This open-label, multicenter, three cohorts, phase II study is designed to assess a combination of Zanubrutinib/Venetoclax/Glofitamab or Venetoclax/Glofitamab in high-risk subjects with either first line or R/R Mantle Cell Lymphoma (MCL).

Three independent cohorts will be run:

* Cohort A will include subjects with a primary refractory or progressive disease within 24 months from initiation of first line treatment (POD 24).
* Cohort B will be open for subjects with R/R MCL and refractory or progressive to a BTK inhibitor given previously (\>24 months if first line).
* Cohort C will only enrol newly diagnosed and untreated MCL subjects with very high-risk features.",NO,"Lymphoma, Mantle-Cell",DRUG: Obinutuzumab|DRUG: Glofitamab|DRUG: Venetoclax Oral Product|DRUG: Zanubrutinib Oral Capsule,"PFS at the end of C17 (each cycle is 21 days), The primary efficacy endpoint is the PFS at 12 months (end of C17) from first dose of study treatment, in each cohort: Zanubrutinib/Venetoclax/Glofitamab for cohorts A and C, Venetoclax/Glofitamab for cohort B, as determined by imaging central review (Lugano 2014 criteria),, end of cycle 17 (each cycle is 21 days)","Overall Response Rate (ORR) and Complete Response Rate (CRR), ORR and CRR as determined by PET-CT evaluation according to Lugano 2014 (imaging central review and local assessment) and at end of C35 (24 months) determined by CT-scan only, End of C3 (each cycle is 21 days), end of C6 (each cycle is 21 days), end of C12 (each cycle is 21 days), end of C17 (each cycle is 21 days), end of C26 (each cycle is 21 days))|PFS at the end of C17 as determined by investigator, PFS at 12 months (end of C17) from first dose of study treatment as determined by investigator (Lugano 2014 criteria, end of cycle 17 (each cycle is 21 days)|Duration of response (DOR), Duration of response (DOR) as determined by investigator (Lugano 2014 criteria) defined as time from first documented Complete Response or Partial Response to date of disease progression or death,, 72 months|Event-free survival (EFS), Event-free survival (EFS) as determined by investigator (Lugano 2014 criteria) defined as time from first dose of study treatment to earliest of: progression, next anti-lymphoma treatment, or death., 74 months|Disease Free Survival (DFS), Disease Free Survival (DFS) as determined by investigator (Lugano 2014 criteria) defined as time from first dose of study treatment to earliest of: progression, or death from lymphoma., 74 months|Overall Survival (OS), Overall survival defined as time from first dose of study treatment to death from any cause,, 74 months or death|Time to next anti-lymphoma treatment (TTNT), Time to next anti-lymphoma treatment (TTNT) defined as time from first dose of study treatment to earliest date of next anti-lymphoma treatment (except corticosteroids), date of next anti-lymphoma treatment (74 months)|Safety and tolerability:, Incidence of grade ≥3 adverse events, adverse events of special interest (AESI)., from ICF signature until 28 days after the last treatment administration|Minimal Residual Disease (MRD), MRD response, before Cycle 1 Day1 (baseline), end of C3 (each cycle is 21 days), end of C6 (each cycle is 21 days), end of C17 (each cycle is 21 days)",,ALL,"ADULT, OLDER_ADULT"
NCT06558591,Feasibility and Potential Impact of an Individualized Exercise Program Via a Telerehabilitation Device in Chronic Patients: A Pilot Study,https://clinicaltrials.gov/study/NCT06558591,,NOT_YET_RECRUITING,"Exercise Rehabilitation (ER) is widely used and effective in the treatment of chronic diseases; however, patients do not adhere to ER programs. Tele-rehabilitation is effective and often used to support and improve patient adherence. Thus, the ADEPINA device could be a promising solution for the individualized management of patients by their therapists. The aim of the study will be: a) To assess functional improvement, measured by the 6-minute walk test (6MWT) after the 12 weeks ER program in people with chronic disease. Additionally, the study will assess the individualized program' adherence and his effect on patients' physical fitness and quality of life. Methods: Fifty patients will follow individualized ER sessions to their patients (with chronic diseases) using the ADEPINA device, 2 to 3 times per week for 12 weeks. At the end of the intervention, the investigator will assess patients' lower limb strength (with sit to stand test), dynamic balance (Timed up and go test), patients' adherence to the ER program by evaluating the usage time of the system by participants, the treatment credibility and participant expectations for improvement will be assessed with the French version of the Credibility and Expectancy Questionnaire. The investigator will also evaluate the patients' quality of life (using the ""World Health Organization Quality of Life"" (WHOQOL) scale) at the beginning and end of the intervention. Discussion: This interventional pilot study could have positive impacts for participants and explore gaps in the current literature regarding the individualized telerehabilitation program' feasibility.",NO,Chronic Disease|Chronic Condition|Stroke Sequelae|Age Problem|Parkinson Disease,DEVICE: Telerehabilitation intervention,"To assess functional improvement, measured by the 6-minute walk test (6MWT) after the 12 weeks ER program in people with chronic disease., The investigator will assess the 6-minutes walk distance change after the intervention, Day 0, Week 12, Week 18","To evaluate the impact of the intervention on patient's lower limb strengh, Physical fitness will be assessed using a clinical test (a 30 seconde' sit to stand test) validated and standardized among the chronic disease population., Day 0, Week 12, Week 18|To evaluate the impact of the intervention on patient's dynamic balance, Physical fitness will be assessed using a clinical test (a time up and go test) validated and standardized among the chronic disease population., Day 0, Week 12, Week 18|To assess the impact of the intervention onpatient's quality of life, Quality of life will be assessed using the World Health Organization Quality of Life (WHOQOL) questionnaire, Day 0, Week 12, Week 18|The adherence to the rehabilitation exercise program will be assessed by evaluating the system usage time by participants, Specifically, this study will examine program adherence through the rate of patients who completed the intervention sessions and evaluations, Week 12, Week 18.|The treatment credibility and participant expectations for improvement were assessed with the French version of the Credibility and Expectancy Questionnaire (CEQ)., The CEQ includes a Credibility subscale (3 items) and an Expectancy subscale (3 items). The Credibility subscale has a 1-9 rating scale (1 ""not at all"" to 9 ""very"") for a total sub-score ranging from 3 to 27. The Expectancy scale has a 0-100% scale, and item 2 has a 1-9 rating scale for a total sub-score ranging from 3 to 27 after transforming the percentage scales. A moderate score ranges between 13.50 and 20.25; scores above 20.25 are considered high., Week 12, Week 18.",,ALL,"ADULT, OLDER_ADULT"
NCT06558578,Association of Helicobacter Pylori Infection and Migraine,https://clinicaltrials.gov/study/NCT06558578,,RECRUITING,The study aims to assess the relation between migraine and H pylori infection in children and adolescent.,NO,Children and Adolescent Who Diagnosed With Migraine,DIAGNOSTIC_TEST: Helicobacter pylori antigen in stool,"migraine in children and adolescent, assessment the association between migraine and H pylori infection in children and adolescent., Over 1 year",,,ALL,CHILD
NCT06558565,Efficacy of Stromal Vascular Fraction Versus Platelet Rich Plasma in Treatment of Androgenitic Alopecia,https://clinicaltrials.gov/study/NCT06558565,,NOT_YET_RECRUITING,"The goal of this randomized controlled clinical trial is to test the efficacy \& safety of stromal vascular fraction in treatment of AGA \& compare it to PRP The main questions it aims to answer are:

* efficacy \& safety of SVF for treatment of AGA patients
* comparing it to PRP in treatment of AGA Participants will receive a single session of SVF in one half of the scalp \& a single session of PRP in the other half.",NO,Androgenetic Alopecia,PROCEDURE: stromal vascular fraction or platelet rich plasma,"comparison of SVF versus PRP, to compare the mean difference in hair density,thickness, Norwood Hamilton scale, patient global assessment, patient satisfaction \& physician global assessment scores between SVF \& PRP., at 3 & 6 months after the sessions","Detecting efficacy of SVF in treatment of AGA, To detect provment in hair thickness \& diameter, at 3 & 6 months",,MALE,ADULT
NCT06558552,"Neuromodulation and Posterior Tibial Nerve , Randomized Controlled Trial",https://clinicaltrials.gov/study/NCT06558552,,RECRUITING,"Heel pain is an important clinical condition that impairs patients' quality of life and causes loss of workforce. Heel spurs are one of the most important causes of heel pain. Heel spur, often plantar fascia calcaneus It is seen at the site of attachment to the tuberosity and is plantar It develops secondary to microtrauma to the calcaneus following inflammation of the fascia , and over time, an organized bone protrusion called a spur forms in the same area . Plantar in patients with heel spurs It is often accompanied by fasciitis . Heel spurs are more common in women. It increases with increasing age due to mechanical trauma to the heel. Its incidence is not clearly known . In its etiology, age, gender, obesity, foot structure that disrupts biomechanics, rheumatological and metabolic diseases, and trauma come to the fore .

Nonsteroids in the treatment of heel spurs There are treatment options such as anti-inflammatory drugs (NSAIDs), other analgesics, exercise, splints and orthoses, shoe insoles and pads, corticosteroid injections into the spur area and extracorporeal shock wave therapy (ESWT). There are a limited number of studies in which pulse radiofrequency (PRF) and injection were applied to the posterior tibial nerve, which senses the region , and conventional or pulse radiofrequency was successfully applied to the lesion area .

ESWT is a non-invasive method. A shock wave is created together with sound and pressure waves. Changes at the cellular level with the shock wave include increased collagen production, increased blood flow in the applied area, acceleration of wound healing and cellular proliferation. In ESWT, radial and focal waves are applied depending on the tissue depth. patellar tendinopathy , plantar fasciitis , myositis It is an effective and reliable method that is frequently used in the treatment of ossificans , lateral epicondylitis , iliotibial band syndrome, many tendinopathies and heel spurs .

PRF is a newer neuromodulation method than conventional radiofrequency. It increases c-fos gene expression at the cellular level in neurons without causing destructive damage to the nerve , and A-delta and C fibers are affected. algogenic neuromediators decrease, endogenous opioids such as Dynorphin , Enkephalin and Endorphin increase, thus reducing pain.",NO,"Pain, Chronic",OTHER: transcutaneous pulsed radiofrequency|OTHER: extracorporeal shock wave therapy (ESWT)',"foot function index, four months",,,ALL,"ADULT, OLDER_ADULT"
NCT06558539,Tibial Nerve Stimulation for Post-BPH Overactive Bladder,https://clinicaltrials.gov/study/NCT06558539,,NOT_YET_RECRUITING,"A single-center, randomized, parallel-controlled design. Approximately 90 cases of persistent overactive bladder symptoms post benign prostatic hyperplasia surgery are expected to be enrolled. The study participants will be randomly assigned to three groups, with 30 participants in each group.",NO,Persistent Overactive Bladder Symptoms Post Benign Prostatic Hyperplasia Surgery,,"Average Daily Urination Frequency Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in average daily urination frequency compared to baseline will be calculated using the participants' 72-hour voiding diaries, treatment during 12 weeks : assessments at weeks 4, 8, and 12.","Average Urinary Urgency Score, At the end of Weeks 4, 8, and 12, the average urinary urgency score will be calculated using the participants' 72-hour voiding diaries, treatment during 12 weeks : assessments at weeks 4, 8, and 12.|Average Daily Nocturia Frequency Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in average daily nocturia frequency compared to baseline will be calculated using the participants' 72-hour voiding diaries, treatment during 12 weeks : assessments at weeks 4, 8, and 12.|Average Voided Volume per Urination Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in average voided volume per urination compared to baseline will be calculated using the participants' 72-hour voiding diaries, treatment during 12 weeks : assessments at weeks 4, 8, and 12.|Average Daily Incontinence Episodes, At the end of Weeks 4, 8, and 12, the average daily incontinence episodes will be calculated using the participants' 72-hour voiding diaries, treatment during 12 weeks : assessments at weeks 4, 8, and 12.|OABSS Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in Overactive Bladder Symptom Score (OABSS) compared to baseline will be calculated., treatment during 12 weeks : assessments at weeks 4, 8, and 12.|PPBC-S Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in Patient Perception of Bladder C Scale (PPBC-S) compared to baseline will be calculated., treatment during 12 weeks : assessments at weeks 4, 8, and 12.|AUA-SI-QOL Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in American Urological Association- Symptom Index-Quality of life (AUA-SI-QOL) compared to baseline will be calculated., treatment during 12 weeks : assessments at weeks 4, 8, and 12.|SAS Compared to Baseline, At the end of Weeks 4, 8, and 12, the change in Self-Rating Anxiety Scale (SAS) compared to baseline will be calculated., treatment during 12 weeks : assessments at weeks 4, 8, and 12.|Participant Satisfaction, At the end of Weeks 4, 8, and 12, participant satisfaction will be assessed using a participant satisfaction questionnaire, treatment during 12 weeks : assessments at weeks 4, 8, and 12.|Potential Adverse Events Related by TTNS, During the study, information on potential adverse events related to TTNS will be recorded, including pain and infection at the stimulation site, tibial nerve injury (such as motor dysfunction, neuralgia, etc.), urinary system complications (such as urinary retention), and other adverse events that the investigator deems potentially related to TTNS."", Entire Study",,MALE,"ADULT, OLDER_ADULT"
NCT06558526,Pectin Intervention Study and Long-term Follow-up in LTP Allergic Patients,https://clinicaltrials.gov/study/NCT06558526,PI23/00820,NOT_YET_RECRUITING,"Pectins are dietary fibers that have shown a health effect on patients with food allergy, as they are capable of modifying the composition of gatrointestinal microbiota, and producing an immunomodulatory effect. Preliminary results by our group show that the intervention for 2 months with pectins produces an increase in tolerance to peach, and changes in the microbiota compared to the group of patients treated with placebo. In this project, we aim to investigate these clinical effects and the involved mechanisms. Moreover, the long-term effect (clinical reactivity to nsLTP and immunomodulatory effect) of the dietary intervention will be prospectively evaluated 6 months after the intervention.",NO,Food Allergy,DIETARY_SUPPLEMENT: Apple pectin (DE 57%)|DIETARY_SUPPLEMENT: Placebo,"Clinical efficacy of a six-month dietary intervention with pectins in patients with food allergy to peach and peanut due to sensitization to nsLTP., Clinical efficacy will be defined as an increase in oral tolerance to peach and/or peanut determined through the DBPCFCs performed pre- and post- dietary intervention, compared to the Placebo., 15 months","Correlation between the induced changes in oral tolerance to peach and/or peanut and the reactivity in skin prick test (SPT)., Changes in oral tolerance to peach and/or peanut (see Primary outcome). Reactivity in SPT to Pru p 3 and peanut will be defined by the size of the papule area (mm2) measured pre- and post- dietary intervention., 15 months|Changes in Pru p 3 and Ara h 9 (nsLTP of peach and peanut, respectively) specific immunoglobulin production (IgE and IgG4) induced by the pectin dietary intervention., Results will be expresses as kUA/L., 15 months|Changes in Pru p 3 and Ara h 9-specific basophil activation induced by the pectin dietary intervention, Results will be presented as the percentage of activated basophils (CD63+CD203c+CCR3+) and basophil allergen threshold sensitivity (CD-Sens)., 15 months|Maturational changes in Pru p 3 and Ara h 9-specific dendritics cells induced by the pectin dietary intervention., Results will be expressed as maturation index (MI)., 15 months|Pru p 3 and Ara h 9-specific proliferative response of different lymphocytes cell subpopulations after the pectin dietary intervention., The specific proliferation responses of different lymphocytes subpopulations will be measured: Th1, Th2, Th9, and Plasma-cells/IgE+, T regulatory cells (Treg), Treg/IL10+ and B regulatory cells/ IL10+. The results will be expressed as fold change of proliferation index (PI)., 15 months|Changes on gastrointestinal microbiota induced by the pectin dietary intervention., Analysis of bacteria composition: relative abundance (%) and alpha-, beta diversity as Jensen Shannon divergence (JSD) (PChao1 vs PChao2)., 15 months|Changes on feces metabolome induced by the pectin dietary intervention., Metabolomic profile from feces samples will be analyzed using a combination of untargeted mass spectrometry techniques: liquid chromatography-mass spectrometry (LC-ESI-QTOF-MS) and capillary electrophoresis-mass spectrometry (CE-TOF-MS). Results will be expressed as μg/g., 15 months|Changes on serum metabolome induced by the pectin dietary intervention., Metabolomic profile from serum samples will be analyzed by a combination of liquid chromatography-mass spectrometry (LC-MS) and gas chromatography coupled to mass spectrometry (GC-MS). Results will be expressed as μg/mL., 15 months|Pectin dietary intervention long-term clinical efficacy., Peach and peanut oral tolerance after 6 months of completing the dietary intervention with the active (pectin) will be determine through DBPCFCs., 12 months|Pectin dietary intervention long-term effect on the immunological profile., Determination and analysis of Pru p 3 and Ara h 9-specific IgE and IgG4 production, basophil activation, dendritic cell maturation and proliferative response of different lymphocytes cell subpopulations, after 6 months of completing the dietary intervention with the active (pectin). Each determination will be performed and measured as same as for the related previous outcomes mentioned., 12 months|Pectin dietary intervention long-term effect on the gastrointestinal microbiota., Analysis of gastrointestinal microbiota composition after 6 months of completing the dietary intervention with the active (pectin). Relative abundance (%) and alpha-, beta diversity as Jensen Shannon divergence (JSD) (PChao1 vs PChao2)., 12 months|Pectin dietary intervention long-term effect on feces metabolome., Analysis by a combination of mass spectrometry techniques after 6 months of completing the dietary intervention with the active (pectin). Results will be expressed as μg/g., 12 months|Pectin dietary intervention long-term effect on serum metabolome., Analysis by a combination of mass spectrometry techniques after 6 months of completing the dietary intervention with the active (pectin). Results will be expressed as μg/mL., 12 months",,ALL,ADULT
NCT06558513,To Evaluate a Phase I/II Clinical Study of XNW5004 Tablets in Patients With Relapsed/Refractory Advanced Tumors,https://clinicaltrials.gov/study/NCT06558513,,RECRUITING,Patients with advanced tumors diagnosed histologically or cytologically at the study center who were refractory to standard therapy or had relapsed received XNW5004 tablets,NO,Advanced Tumor|Lymphoma,DRUG: XNW5004 tablets,"Incidence and severity of treatment-emergent adverse events (AEs)[Safety and Tolerability], The incidence and severity of treatment-emergent AEs will be collected and the safety and tolerability of XNW5004 will be assessed., through study completion, an average of about 10 months|Recommended phase 2 dose (RP2D), Recommended phase 2 dose (RP2D) will be established according to the incidence of dose-limiting toxicities (DLTs) of escalated doses of XNW5004., 28 days since the date of first dose in phase 1","Time to peak (Tmax), Pharmacokinetics profile of a single dose and continuous medication of XNW5004 and its metabolite (plasma): Time to peak (Tmax) of plasma concentration, 28 days since the date of first dose|Maximum plasma concentration (Cmax), Pharmacokinetics profile of a single dose and continuous medication of XNW5004 and its metabolite (plasma): Maximum plasma concentration (Cmax), 28 days since the date of first dose|Halflife (T1/2), Pharmacokinetics profile of a single dose and continuous medication of XNW5004 and its metabolite (plasma): Halflife (T1/2), 28 days since the date of first dose|Objective response rate (ORR), Assess the response rate of subjects to the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|Progression-free survival (PFS), Assess the progression-free survival of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|Duration of Response (DoR), Assess the duration of Response of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|Complete response rate (CRR), Assess the Complete response rate of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|Partial response rate (PRR), Assess the partial response rate of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|Disease control rate (DCR), Assess the disease control rate of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|The correlation between potential biomarkers (including but not limited to EZH2 mutations, etc.) and therapeutic efficacy, Assess the correlation between potential biomarkers (including but not limited to EZH2 mutations, etc.) and therapeutic efficacy of the subjects after the treatment of XNW5004, every 8 weeks through study completion, an average of about 10 months|H3K27me3 (H3 histone 27th lysine trimethylation)/H3 histone relative baseline change level, Assess the H3K27me3 (H3 histone 27th lysine trimethylation)/H3 histone relative baseline change level of the subjects after the treatment of XNW5004, 28 days since the date of first dose",,ALL,"ADULT, OLDER_ADULT"
NCT06558500,Uterocervical Angle Versus Cervical Length as a Predictor of Labor Induction in Term Singleton Pregnancy,https://clinicaltrials.gov/study/NCT06558500,,COMPLETED,"Induction of labor is frequently performed in all obstetric clinics. Failed IOL has been defined in many different ways.Bishop scoring, which is a traditional and subjective method, is more frequently evaluated with cervical length, which has taken its place in preterm labor, and various ultrasonographic evaluations such as Uterocervical angle (UCA), Posterior cervical angle (PCA), cervical elastography, transvulvar ultrasonography, which have recently increased in popularity, have gained importance and led us to evaluate these parameters in our clinic. The relationship between the angles between the uterus and cervix and labor has been known for some time.",NO,Labor (Obstetrics)--Complications,PROCEDURE: Uterocervical angle,"The efficacy of uterocervical angle, The efficacy of uterocervical angle in predicting labor induction success in nulliparous patients at term., 2 days",,,FEMALE,ADULT
